first_name,last_name,country_code,uci_rank,uci_points,pcs_rider_path,is_starter
Ryan,Mullen,IE,902,75.0,ryan-mullen,True
Darren,Rafferty,IE,972,66.6,darren-rafferty,True
Nadav,Raisberg,IL,518,159.0,nadav-raisberg,True
Alberto,Bettiol,IT,251,398.0,alberto-bettiol,True
Mattia,Cattaneo,IT,428,217.6,mattia-cattaneo,True
Giulio,Ciccone,IT,23,2158.0,giulio-ciccone,True
Lorenzo Mark,Finn,IT,146,633.9,lorenzo-finn,True
Giulio,Pellizzari,IT,28,1955.0,giulio-pellizzari,True
Davide,Piganzoli,IT,79,1068.8,davide-piganzoli,True
Christian,Scaroni,IT,13,2795.0,christian-scaroni,True
Matteo,Trentin,IT,66,1193.1,matteo-trentin,True
Jo,Hashikawa,JP,945,70.0,jo-hashikawa,True
Anton,Kuzmin,KZ,1541,30.0,anton-kuzmin,True
Daniil,Marukhin,KZ,,,daniil-marukhin,True
Arthur,Kluckers,LU,660,115.5,arthur-kluckers,True
Arno,Wallenborn,LU,679,111.0,arno-wallenborn,True
Kristiāns,Belohvoščiks,LV,369,263.0,kristians-belohvosciks,True
Emīls,Liepiņš,LV,656,117.0,emils-liepins,True
Mārtiņš,Pluto,LV,359,270.2,martins-pluto,True
Toms,Skujiņš,LV,112,810.5,toms-skujins,True
Victor,Langellotti,MC,537,152.0,victor-langellotti,True
Maral-Erdene,Batmunkh,MN,1035,61.0,maral-erdene-batmunkh,True
Alexandre,Mayer,MU,415,229.3,alexandre-mayer,True
Edgar David,Cadena,MX,334,289.0,edgar-cadena,True
Ulises Alfredo,Castillo,MX,3238,1.0,ulises-alfredo-castillo,True
Isaac,Del Toro,MX,3,6476.5,isaac-del-toro,True
José Antonio,Escarcega,MX,,,jose-antonio-escarcega-mendizabal,True
Eder,Frayre,MX,478,180.0,eder-frayre,True
Carlos Alfonso,García,MX,3304,1.0,carlos-alfonso-garcia-trejo,True
Pascal,Eenkhoorn,NL,1120,53.9,pascal-eenkhoorn,True
Daan,Hoole,NL,314,309.7,daan-hoole,True
Menno,Huising,NL,1247,45.0,menno-huising,True
Bart,Lemmen,NL,152,620.0,bart-lemmen,True
Bauke,Mollema,NL,295,333.0,bauke-mollema,True
Mathijs,Paasschens,NL,,,mathijs-paasschens,True
Mathieu,Van Der Poel,NL,16,2740.6,mathieu-van-der-poel,True
Tim,Van Dijke,NL,157,611.6,tim-van-dijke,True
Tobias,Foss,NO,235,426.8,tobias-foss,True
Tobias Halland,Johannessen,NO,15,2760.3,tobias-halland-johannessen,True
Andreas,Leknessund,NO,52,1401.0,andreas-leknessund,True
Jørgen,Nordhagen,NO,110,827.6,jorgen-nordhagen,True
Anders,Skaarseth,NO,507,161.3,anders-skaarseth,True
Embret,Svestad-Bårdseng,NO,285,340.0,embret-svestad-bardseng,True
George,Bennett,NZ,425,223.0,george-bennett,True
